country;total_vaccinations;Date;vaccine
Argentina;269277;11/01/2022;CanSino
Argentina;18638778;10/01/2022;Sputnik V
Argentina;26206537;10/01/2022;Sinopharm/Beijing
Argentina;7971279;10/01/2022;Pfizer/BioNTech
Argentina;25185075;10/01/2022;Oxford/AstraZeneca
Argentina;3557794;10/01/2022;Moderna
Argentina;263328;10/01/2022;CanSino
Argentina;18561380;09/01/2022;Sputnik V
Argentina;26120031;09/01/2022;Sinopharm/Beijing
Argentina;7722966;09/01/2022;Pfizer/BioNTech
Argentina;25107037;09/01/2022;Oxford/AstraZeneca
Argentina;3543110;09/01/2022;Moderna
Argentina;257231;09/01/2022;CanSino
Argentina;18537423;08/01/2022;Sputnik V
Argentina;26097384;08/01/2022;Sinopharm/Beijing
Argentina;7632532;08/01/2022;Pfizer/BioNTech
Argentina;25085484;08/01/2022;Oxford/AstraZeneca
Argentina;3541640;08/01/2022;Moderna
Argentina;254251;08/01/2022;CanSino
Argentina;18499981;07/01/2022;Sputnik V
Argentina;26054132;07/01/2022;Sinopharm/Beijing
Argentina;7485313;07/01/2022;Pfizer/BioNTech
Argentina;25048755;07/01/2022;Oxford/AstraZeneca
Argentina;3541036;07/01/2022;Moderna
Argentina;250507;07/01/2022;CanSino
Argentina;18425664;06/01/2022;Sputnik V
Argentina;25945273;06/01/2022;Sinopharm/Beijing
Argentina;7209200;06/01/2022;Pfizer/BioNTech
Argentina;24951995;06/01/2022;Oxford/AstraZeneca
Argentina;3540623;06/01/2022;Moderna
Argentina;242366;06/01/2022;CanSino
Argentina;18377005;05/01/2022;Sputnik V
Argentina;25838819;05/01/2022;Sinopharm/Beijing
Argentina;6934011;05/01/2022;Pfizer/BioNTech
Argentina;24848768;05/01/2022;Oxford/AstraZeneca
Argentina;3540425;05/01/2022;Moderna
Argentina;233936;05/01/2022;CanSino
Argentina;18329319;04/01/2022;Sputnik V
Argentina;25734218;04/01/2022;Sinopharm/Beijing
Argentina;6667840;04/01/2022;Pfizer/BioNTech
Argentina;24735259;04/01/2022;Oxford/AstraZeneca
Argentina;3540248;04/01/2022;Moderna
Argentina;225008;04/01/2022;CanSino
Argentina;18286189;03/01/2022;Sputnik V
Argentina;25636496;03/01/2022;Sinopharm/Beijing
Argentina;6403095;03/01/2022;Pfizer/BioNTech
Argentina;24602886;03/01/2022;Oxford/AstraZeneca
Argentina;3540135;03/01/2022;Moderna
Argentina;216214;03/01/2022;CanSino
Argentina;18247328;02/01/2022;Sputnik V
Argentina;25556393;02/01/2022;Sinopharm/Beijing
Argentina;6170738;02/01/2022;Pfizer/BioNTech
Argentina;24478456;02/01/2022;Oxford/AstraZeneca
Argentina;3539648;02/01/2022;Moderna
Argentina;205483;02/01/2022;CanSino
Argentina;18238611;01/01/2022;Sputnik V
Argentina;25539984;01/01/2022;Sinopharm/Beijing
Argentina;6124148;01/01/2022;Pfizer/BioNTech
Argentina;24448465;01/01/2022;Oxford/AstraZeneca
Argentina;3539621;01/01/2022;Moderna
Argentina;204154;01/01/2022;CanSino
Argentina;18238358;31/12/2021;Sputnik V
Argentina;25539384;31/12/2021;Sinopharm/Beijing
Argentina;6122911;31/12/2021;Pfizer/BioNTech
Argentina;24446207;31/12/2021;Oxford/AstraZeneca
Argentina;3539575;31/12/2021;Moderna
Argentina;204112;31/12/2021;CanSino
Argentina;18234201;30/12/2021;Sputnik V
Argentina;25533900;30/12/2021;Sinopharm/Beijing
Argentina;6112549;30/12/2021;Pfizer/BioNTech
Argentina;24434621;30/12/2021;Oxford/AstraZeneca
Argentina;3539563;30/12/2021;Moderna
Argentina;203953;30/12/2021;CanSino
Argentina;18196882;29/12/2021;Sputnik V
Argentina;25453987;29/12/2021;Sinopharm/Beijing
Argentina;5937822;29/12/2021;Pfizer/BioNTech
Argentina;24309210;29/12/2021;Oxford/AstraZeneca
Argentina;3539346;29/12/2021;Moderna
Argentina;197962;29/12/2021;CanSino
Argentina;18144976;28/12/2021;Sputnik V
Argentina;25357665;28/12/2021;Sinopharm/Beijing
Argentina;5754758;28/12/2021;Pfizer/BioNTech
Argentina;24152198;28/12/2021;Oxford/AstraZeneca
Argentina;3539017;28/12/2021;Moderna
Argentina;191531;28/12/2021;CanSino
Argentina;18091714;27/12/2021;Sputnik V
Argentina;25259049;27/12/2021;Sinopharm/Beijing
Argentina;5571721;27/12/2021;Pfizer/BioNTech
Argentina;23970910;27/12/2021;Oxford/AstraZeneca
Argentina;3538939;27/12/2021;Moderna
Argentina;187032;27/12/2021;CanSino
